Epoch 15, Step 200, Loss: 0.190104871097, Error: 0.03, lr: 0.00266967773438
Epoch 15, Step 300, Loss: 0.0888985483821, Error: 0.03, lr: 0.00266967773438
Epoch 15, Step 400, Loss: 0.151251365773, Error: 0.03, lr: 0.00266967773438
Epoch 15, Step 500, Loss: 0.1930619409, Error: 0.05, lr: 0.00266967773438
Epoch 16, Step 100, Loss: 0.123733859984, Error: 0.04, lr: 0.00200225830078
Epoch 16, Step 200, Loss: 0.205361993678, Error: 0.08, lr: 0.00200225830078
Epoch 16, Step 300, Loss: 0.142790288867, Error: 0.03, lr: 0.00200225830078
Epoch 16, Step 400, Loss: 0.132892435101, Error: 0.05, lr: 0.00200225830078
Epoch 16, Step 500, Loss: 0.222621063667, Error: 0.09, lr: 0.00200225830078
Epoch 17, Step 100, Loss: 0.195429942588, Error: 0.07, lr: 0.00200225830078
Epoch 17, Step 200, Loss: 0.101302748158, Error: 0.03, lr: 0.00200225830078
Epoch 17, Step 300, Loss: 0.187542770705, Error: 0.08, lr: 0.00200225830078
Epoch 17, Step 400, Loss: 0.20979910465, Error: 0.07, lr: 0.00200225830078
Epoch 17, Step 500, Loss: 0.135556870728, Error: 0.08, lr: 0.00200225830078
Epoch 18, Step 100, Loss: 0.159752735751, Error: 0.08, lr: 0.00150169372559
Epoch 18, Step 200, Loss: 0.171287963671, Error: 0.06, lr: 0.00150169372559
Epoch 18, Step 300, Loss: 0.156046576536, Error: 0.07, lr: 0.00150169372559
Epoch 18, Step 400, Loss: 0.256569401132, Error: 0.12, lr: 0.00150169372559
Epoch 18, Step 500, Loss: 0.113838283763, Error: 0.02, lr: 0.00150169372559
Epoch 19, Step 100, Loss: 0.116820041389, Error: 0.05, lr: 0.00150169372559
Epoch 19, Step 200, Loss: 0.0662488872094, Error: 0.02, lr: 0.00150169372559
Epoch 19, Step 300, Loss: 0.0690995447191, Error: 0.02, lr: 0.00150169372559
Epoch 19, Step 400, Loss: 0.079085096128, Error: 0.03, lr: 0.00150169372559
Epoch 19, Step 500, Loss: 0.0699727792353, Error: 0.03, lr: 0.00150169372559
Epoch 20, Step 100, Loss: 0.108640030269, Error: 0.04, lr: 0.00112627029419
Epoch 20, Step 200, Loss: 0.14707753223, Error: 0.08, lr: 0.00112627029419
Epoch 20, Step 300, Loss: 0.172354983807, Error: 0.11, lr: 0.00112627029419
Epoch 20, Step 400, Loss: 0.264220846801, Error: 0.09, lr: 0.00112627029419
